intention,split,message
mise_a_jour_infos_atda,train,"Bonjour, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,train,"Madame, Monsieur, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,train,"Bonjour la préfecture, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,train,"Mesdames, Messieurs, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,train,"À l'attention du service des étrangers, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,test,"Service compétent, bonjour, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,test,"Salutations, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,test,"Bonjour à toute l'équipe, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,test,"Madame, Monsieur le Préfet, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
mise_a_jour_infos_atda,test,"Cher service étranger, je souhaiterais souhaite communiquer des éléments nouveaux concernant son ATDA."
demande_en_rapport_avec_procedure_dublin_en_cours,train,"Bonjour, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,train,"Madame, Monsieur, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,train,"Bonjour la préfecture, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,train,"Mesdames, Messieurs, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,train,"À l'attention du service des étrangers, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,test,"Service compétent, bonjour, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,test,"Salutations, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,test,"Bonjour à toute l'équipe, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,test,"Madame, Monsieur le Préfet, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
demande_en_rapport_avec_procedure_dublin_en_cours,test,"Cher service étranger, je souhaiterais fait une demande en rapport avec une procédure Dublin en cours."
ressortissant_ukrainien_demande_un_nouveau_titre,train,"Bonjour, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,train,"Madame, Monsieur, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,train,"Bonjour la préfecture, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,train,"Mesdames, Messieurs, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,train,"À l'attention du service des étrangers, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,test,"Service compétent, bonjour, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,test,"Salutations, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,test,"Bonjour à toute l'équipe, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,test,"Madame, Monsieur le Préfet, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_un_nouveau_titre,test,"Cher service étranger, je souhaiterais est un ressortissant ukrainien et demande un titre de séjour pour la première fois."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,train,"Bonjour, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,train,"Madame, Monsieur, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,train,"Bonjour la préfecture, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,train,"Mesdames, Messieurs, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,train,"À l'attention du service des étrangers, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,test,"Service compétent, bonjour, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,test,"Salutations, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,test,"Bonjour à toute l'équipe, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,test,"Madame, Monsieur le Préfet, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_demande_renouvellement_de_son_titre,test,"Cher service étranger, je souhaiterais est un ressortissant ukrainien et demande le renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,train,"Bonjour, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,train,"Madame, Monsieur, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,train,"Bonjour la préfecture, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,train,"Mesdames, Messieurs, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,train,"À l'attention du service des étrangers, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,test,"Service compétent, bonjour, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,test,"Salutations, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,test,"Bonjour à toute l'équipe, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,test,"Madame, Monsieur le Préfet, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
ressortissant_ukrainien_autre_demande,test,"Cher service étranger, je souhaiterais est un ressortissant ukrainien et fait une demande qui n'est ni celle d'un nouveau titre de séjour ni celle d'un renouvellement de son titre de séjour."
demande_d_un_etudiant_en_programme_de_mobilite,train,"Bonjour, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,train,"Madame, Monsieur, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,train,"Bonjour la préfecture, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,train,"Mesdames, Messieurs, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,train,"À l'attention du service des étrangers, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,test,"Service compétent, bonjour, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,test,"Salutations, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,test,"Bonjour à toute l'équipe, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,test,"Madame, Monsieur le Préfet, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_etudiant_en_programme_de_mobilite,test,"Cher service étranger, je souhaiterais est étudiant en programme de mobilité."
demande_d_un_stagiaire_associe_en_profession_medicale,train,"Bonjour, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,train,"Madame, Monsieur, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,train,"Bonjour la préfecture, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,train,"Mesdames, Messieurs, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,train,"À l'attention du service des étrangers, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,test,"Service compétent, bonjour, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,test,"Salutations, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,test,"Bonjour à toute l'équipe, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,test,"Madame, Monsieur le Préfet, je souhaiterais est un stagiaire associé en profession médicale."
demande_d_un_stagiaire_associe_en_profession_medicale,test,"Cher service étranger, je souhaiterais est un stagiaire associé en profession médicale."
difficultes_avec_le_site_de_l_anef,train,"Bonjour, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,train,"Madame, Monsieur, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,train,"Bonjour la préfecture, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,train,"Mesdames, Messieurs, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,train,"À l'attention du service des étrangers, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,test,"Service compétent, bonjour, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,test,"Salutations, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,test,"Bonjour à toute l'équipe, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,test,"Madame, Monsieur le Préfet, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
difficultes_avec_le_site_de_l_anef,test,"Cher service étranger, je souhaiterais a des difficultés pour naviguer sur le site de l'ANEF ou pour créer son compte ANEF."
changement_statut_etudiant_a_salarie,train,"Bonjour, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,train,"Madame, Monsieur, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,train,"Bonjour la préfecture, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,train,"Mesdames, Messieurs, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,train,"À l'attention du service des étrangers, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,test,"Service compétent, bonjour, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,test,"Salutations, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,test,"Bonjour à toute l'équipe, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,test,"Madame, Monsieur le Préfet, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_salarie,test,"Cher service étranger, je souhaiterais souhaite déclarer un changement de statut d'étudiant à salarié."
changement_statut_etudiant_a_recherche_d_emploi,train,"Bonjour, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,train,"Madame, Monsieur, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,train,"Bonjour la préfecture, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,train,"Mesdames, Messieurs, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,train,"À l'attention du service des étrangers, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,test,"Service compétent, bonjour, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,test,"Salutations, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,test,"Bonjour à toute l'équipe, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,test,"Madame, Monsieur le Préfet, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
changement_statut_etudiant_a_recherche_d_emploi,test,"Cher service étranger, je souhaiterais souhaite déclarer un changement de statut d'étudiant à demandeur d'emploi."
sollicitation_titre_vie_privee_et_familiale_hors_anef,train,"Bonjour, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,train,"Madame, Monsieur, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,train,"Bonjour la préfecture, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,train,"Mesdames, Messieurs, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,train,"À l'attention du service des étrangers, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,test,"Service compétent, bonjour, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,test,"Salutations, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,test,"Bonjour à toute l'équipe, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,test,"Madame, Monsieur le Préfet, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
sollicitation_titre_vie_privee_et_familiale_hors_anef,test,"Cher service étranger, je souhaiterais sollicite un titre vie privée et familiale hors ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,train,"Bonjour, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,train,"Madame, Monsieur, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,train,"Bonjour la préfecture, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,train,"Mesdames, Messieurs, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,train,"À l'attention du service des étrangers, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,test,"Service compétent, bonjour, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,test,"Salutations, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,test,"Bonjour à toute l'équipe, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,test,"Madame, Monsieur le Préfet, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_je_n_arrive_pas_a_creer_mon_compte_anef,test,"Cher service étranger, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET JE N'ARRIVE PAS A CREER MON COMPTE ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,train,"Bonjour, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,train,"Madame, Monsieur, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,train,"Bonjour la préfecture, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,train,"Mesdames, Messieurs, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,train,"À l'attention du service des étrangers, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,test,"Service compétent, bonjour, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,test,"Salutations, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,test,"Bonjour à toute l'équipe, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,test,"Madame, Monsieur le Préfet, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_blocage_sur_le_site_de_l_anef,test,"Cher service étranger, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE BLOCAGE SUR LE SITE DE L'ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,train,"Bonjour, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,train,"Madame, Monsieur, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,train,"Bonjour la préfecture, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,train,"Mesdames, Messieurs, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,train,"À l'attention du service des étrangers, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,test,"Service compétent, bonjour, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,test,"Salutations, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,test,"Bonjour à toute l'équipe, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,test,"Madame, Monsieur le Préfet, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
depot_d_une_demande_de_titre_et_autre_probleme_anef,test,"Cher service étranger, je souhaiterais dEPOT D'UNE DEMANDE DE TITRE ET AUTRE PROBLEME ANEF."
